"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"7433","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7434","wenn","CONJ.SubFin.-","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"7435","dein","PRO.Poss.Attr.-.Nom.Sg.Masc","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"7436","Vater","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7437","das","PRO.Dem.Subst.-.Acc.Sg.Neut","PRO","Dem","Subst","Acc",NA,"Sg","Neut",NA,NA
"7438","wüßte","VFIN.Full.3.Sg.Past.Subj","VFIN","Full",NA,NA,"3","Sg",NA,"Past","Subj"
"7439","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7440","–","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7441","Wie","PROADV.Inter","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"7442","wild","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"7443","er","PRO.Pers.Subst.3.Nom.Sg.Masc","PRO","Pers","Subst","Nom","3","Sg","Masc",NA,NA
"7444","schon","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7445","war","VFIN.Sein.3.Sg.Past.Ind","VFIN",NA,NA,NA,"3","Sg",NA,"Past","Ind"
"7446",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7447","als","CONJ.SubFin.-","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"7448","er","PRO.Pers.Subst.3.Nom.Sg.Masc","PRO","Pers","Subst","Nom","3","Sg","Masc",NA,NA
"7449","nur","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7450","hörte","VFIN.Full.1.Sg.Past.Ind","VFIN","Full",NA,NA,"1","Sg",NA,"Past","Ind"
"7451",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7452","daß","CONJ.SubFin.-","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"7453","der","ART.Def.Nom.Sg.Masc","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"7454","Prinz","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7455","dich","PRO.Pers.Subst.2.Acc.Sg.*","PRO","Pers","Subst","Acc","2","Sg",NA,NA,NA
"7456","jüngst","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7457","nicht","PART.Neg","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"7458","ohne","APPR.Acc","APPR",NA,NA,"Acc",NA,NA,NA,NA,NA
"7459","Mißfallen","N.Reg.Acc.Sg.Neut","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"7460","gesehen","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
