"brentano_die-gruendung-prags-1814" "brentano_ponce-de-leon-1803" "goethe_der-buergergeneral-1793" "goethe_der-grosskophta-1791" "goethe_die-natuerliche-tochter-1803" "goethe_faust-der-tragoedie-zweiter-teil-1832" "goethe_torquato-tasso-1790" "iffland_das-erbtheil-des-vaters-1802" "iffland_der-spieler-1796" "kleist_amphitryon-1807" "kleist_der-zerbrochene-krug-1808" "kleist_die-familie-schroffenstein-1803" "kleist_die-hermannsschlacht-1808" "kleist_penthesilea-1808" "kleist_prinz-friedrich-von-homburg-1810" "kotzebue_der-hyperboreische-esel-1799" "kotzebue_die-deutschen-kleinstaedter-1802" "kotzebue_menschenhass-und-reue-1788" "schiller_die-braut-von-messina-1803" "schiller_die-jungfrau-von-orleans-1801" "schiller_die-piccolomini-1799" "schiller_kabale-und-liebe-1784" "schiller_maria-stuart-1800" "schiller_wallensteins-lager-1798" "schiller_wallensteins-tod-1799" "schiller_wilhelm-tell-1804" "schlegel_alarcos-1802" "tieck_der-gestiefelte-kater-1797" "tieck_die-verkehrte-welt-1800" "tieck_prinz-zerbino-1799" "tieck_ritter-blaubart-1797" "werner_der-vierundzwanzigste-februar-1809"
"wie" 0.608179067981253 0.769158907607511 0.901313779407272 0.682208588957055 0.575649516046867 0.871229176046826 0.84588737613792 0.584941505849415 0.550410161418365 0.827276487620398 0.785880785880786 1.05345680827086 0.712435233160622 0.992960701132814 0.687486286842683 0.880065493246009 0.524742610428429 0.514053952084512 0.42916123424598 0.492109972344233 0.664523043944266 0.680436445625478 0.532285892588378 0.804176072234763 0.621776818697195 0.538181201796762 0.897790055248619 0.717483289384927 0.579308930585461 0.765981413686286 0.929670675980881 0.998161281849225
"was" 0.39657037164757 0.535608632018186 1.1151848457073 0.780368098159509 0.75904228222109 0.637100405222873 0.757270603399662 0.77992200779922 0.682720296374702 1.08136855167523 1.24542124542125 0.61247488852957 1.03626943005181 0.77851848398676 0.958092591238207 0.839132214490381 0.690800398538691 0.410299943406904 0.613863537592351 0.496176996909061 0.728831725616292 0.76498771993397 0.653426819867112 0.818284424379233 0.808309864306353 0.669548266802271 0.641278610891871 0.39860182743607 0.615195324515534 0.555712006007697 0.393928252534272 0.538481744155503
"sich" 0.468674075583491 0.386136455641018 0.641613198900092 0.716564417177914 1.0443199184921 1.23592976136875 1.01103681624104 0.424957504249575 0.455146864249802 0.502275010340956 0.559440559440559 0.357685334901269 0.512737478411054 0.904386741876836 0.533898924888466 0.593532541956611 0.597808037196945 0.551782682512733 0.923511516731856 0.72393037253945 0.728831725616292 0.507307645850948 0.660768694247641 0.90293453724605 0.632749350791851 0.639884735994576 0.601815311760063 0.778806647452014 0.625448579924126 0.679620764104008 0.48321865644204 0.485946939847649
"dem" 0.926375848394125 0.407934481362688 0.412465627864345 0.54478527607362 0.611309220580744 0.641602881584872 0.491420285184887 0.584941505849415 0.582164593807886 0.561366188028127 0.606060606060606 0.617374687637807 0.798791018998273 0.587385203487017 0.906896803920135 0.409332787556283 0.557954168050482 0.457460856442181 0.896349413298566 0.732064421669107 0.884244372990354 0.62004267826227 0.613046510774201 0.987584650112867 0.844884971288541 0.932282396813289 0.749802683504341 0.533513215183663 0.317850917666359 0.422416220782878 0.441199642838384 0.499080640924613
"von" 0.536075364045331 0.442188521782456 0.183318056828598 0.574233128834356 0.6571574121243 0.587573165240882 0.712962217030533 0.824917508249175 0.910293728499603 0.756367074395793 0.612720612720613 0.622274486746043 0.690846286701209 0.717915248706354 0.899583120017553 0.777732296356938 0.504815675855198 0.716845878136201 0.619295958279009 0.654790954937368 0.60021436227224 0.672383943310384 0.763554935575052 0.620767494356659 0.640064372188289 0.699211797609967 0.513022888713496 0.564174894217207 0.548549164359684 0.576363465690416 0.525237670045696 0.485946939847649
"auf" 0.597206765208395 0.513810606296515 0.580507179957226 0.54478527607362 0.64696892511462 0.511031067086898 0.608233303794409 0.414958504149585 0.439269648055041 0.673639425633753 0.785880785880786 0.524278504581312 0.750215889464594 0.806489207962333 0.965406275140788 0.327466230045027 0.697442710063102 0.650820599886814 0.51064754454585 0.54904831625183 0.562700964630225 0.632121431734912 0.624059322344995 0.409142212189616 0.497421454957756 0.661072972285787 0.236779794790845 0.410866499049488 0.451143237978058 0.418661409931475 0.577761437050265 0.60415024954032
"daß" 0.424784864492061 0.579204683461527 0.717995722578674 0.849079754601227 0.285277636271014 0.227375056280955 0.608233303794409 0.674932506749325 0.582164593807886 0.80364001654553 0.452880452880453 0.587975892988387 0.38860103626943 0.391590135658011 0.307174723908433 0.552599263200982 0.464961806708735 0.462176947745708 0.358539765319426 0.353831137140068 0.589496248660236 0.603937673632081 0.690136191769759 0.352708803611738 0.387696134011192 0.385625900500042 0.789265982636148 0.907585699392899 0.702347995488568 0.702149629212428 0.693313724460318 0.210139217231416
"doch" 0.379328181575936 0.46710055117865 0.473571646807211 0.157055214723926 0.382068262862965 0.781179648806844 0.426971723193426 0.374962503749625 0.386345594072506 0.407729126041482 0.526140526140526 0.788867656426087 0.399395509499136 0.470840520255466 0.329115775616178 0.429799426934097 0.631019594818997 0.424448217317487 0.320512820512821 0.329428989751098 0.466237942122186 0.394572613439626 0.264307477699057 0.338600451467269 0.36209355912366 0.389863547758285 0.37490134175217 0.625498252284295 0.548549164359684 0.595137519947433 0.661799464257577 0.577882847386394
"des" 0.931078263868207 0.112104132282876 0.0152765047357165 0.289570552147239 0.616403464085583 0.40072039621792 0.435027793442359 0.324967503249675 0.158772161947605 0.354547066123028 0.153180153180153 0.215591160762409 0.653065630397237 0.615355927462589 0.665545235134937 0.286532951289398 0.172700099634673 0.165063195623467 1.14624076488483 0.67512607776151 0.568060021436227 0.370415106494343 0.668110568628171 0.564334085778781 0.577886690318569 0.847529451648445 0.611681136543015 0.263690439688477 0.153798831128883 0.21214681310429 0.105047534009139 0.394011032308905
"mein" 0.390300484348794 0.417276492386261 0.351359608921479 0.314110429447853 0.402445236882323 0.146330481764971 0.398775477322162 0.61993800619938 0.714474728764223 0.537729716953259 0.41958041958042 0.421382723308344 0.620682210708117 0.18180970584122 0.870328384407226 0.511665984445354 0.604450348721355 0.495189586870402 0.423728813559322 0.451439726695949 0.401929260450161 0.76498771993397 0.458867148783084 0.155191873589165 0.475476390768443 0.394101195016527 0.493291239147593 0.380204820015944 0.610068696811238 0.555712006007697 0.346656862230159 0.538481744155503
"an" 0.437324639089612 0.383022451966493 0.351359608921479 0.368098159509202 0.509424350483953 0.524538496172895 0.53170063642955 0.45995400459954 0.486901296639323 0.277728535129705 0.253080253080253 0.47038071439071 0.620682210708117 0.43354622162137 0.475389453667812 0.49119934506754 0.312188641647293 0.424448217317487 0.53780964797914 0.5734504636408 0.535905680600214 0.559648910899062 0.469879960353878 0.395033860045147 0.435243773088036 0.546656496313247 0.404498816101026 0.380204820015944 0.384497077822209 0.418661409931475 0.315142602027417 0.433412135539795
"wenn" 0.100318196780413 0.529380624669137 0.580507179957226 0.633128834355828 0.54508405501783 0.279153534443944 0.640457584790139 0.444955504449555 0.529240539825351 0.685457661171187 0.619380619380619 0.543877701014258 0.52353195164076 0.517458393548086 0.299861040005851 0.532132623823168 0.464961806708735 0.631956234672703 0.233594089526293 0.313160891491785 0.332261521972133 0.583806417844345 0.334055284314085 0.225733634311512 0.252368238177097 0.389863547758285 0.355169692186267 0.668424602931256 0.5280426535425 0.578240871116118 0.892904039077683 0.472813238770686
"wir" 0.357383576030221 0.417276492386261 0.840207760464406 0.505521472392638 0.229240957717779 0.646105357946871 0.394747442197696 0.68993100689931 0.391637999470759 0.212728239673817 0.1998001998002 0.362585134009506 0.275259067357513 0.358957624353177 0.131646310246471 0.327466230045027 0.451677183659914 0.348990756461045 0.380269448066058 0.557182365381487 0.589496248660236 0.265732576398116 0.146837487610587 1.07223476297968 0.471818880070224 0.826341215357234 0.128255722178374 0.545777886797081 0.794627294165898 0.587627898244626 0.588266190451179 0.30207512477016
"nur" 0.330736555010424 0.457758540155077 0.99297280782157 0.485889570552147 0.412633723892002 0.384961728950923 0.600177233545476 0.36996300369963 0.328129134691717 0.218637357442534 0.206460206460206 0.499779509040129 0.296848013816926 0.20511864248753 0.226724200980034 0.757265656979124 0.524742610428429 0.348990756461045 0.277053455019557 0.203351228241419 0.434083601286174 0.44691387848774 0.301016849601703 0.522009029345372 0.398668666105848 0.22883295194508 0.591949486977111 0.692953946158092 0.64595509074131 0.546324978879189 0.871894532275855 0.512214342001576
"noch" 0.236688245528787 0.333198393174104 0.320806599450046 0.358282208588957 0.295466123280693 0.263394867176947 0.342382985579634 0.35996400359964 0.391637999470759 0.460911185959936 0.632700632700633 0.48508011171542 0.318436960276338 0.536105542865134 0.409566298544577 0.552599263200982 0.564596479574892 0.448028673835125 0.309647979139505 0.34976411257524 0.45016077170418 0.599911422474534 0.345068095884879 0.451467268623025 0.501078965655975 0.271209424527502 0.572217837411208 0.515116207763537 0.451143237978058 0.456209518445508 0.661799464257577 0.472813238770686
"dich" 0.476511434706961 0.460872543829602 0.137488542621448 0.250306748466258 0.672440142638818 0.315173345339937 0.797550954644324 0.0999900009999 0.344006350886478 0.84500384092655 0.13986013986014 0.734969866235484 0.577504317789292 0.624679502121113 0.468075769765231 0.552599263200982 0.0797077382929259 0.249952839086965 0.505215123859192 0.646656905807711 0.241157556270096 0.358336353021701 0.352409970265409 0.0987584650112867 0.497421454957756 0.250021188236291 0.404498816101026 0.147176059361011 0.235824874397621 0.229043461935605 0.336152108829245 0.26267402153927
"dir" 0.545480194993495 0.339426400523153 0.0458295142071494 0.240490797546012 0.555272542027509 0.283656010805943 0.696850076532667 0.104989501049895 0.227573432124901 1.05182296283165 0.166500166500166 0.886863638590818 0.906735751295337 0.666635588084472 0.738682074160755 0.409332787556283 0.0664231152441049 0.221656291265799 0.516079965232508 0.427037579306979 0.273311897106109 0.233522567137738 0.231269042986675 0.0705417607223476 0.354778537727223 0.165268243071447 0.572217837411208 0.153308395167719 0.148672203424587 0.229043461935605 0.399180629234729 0.183871815077489
"als" 0.457701772810634 0.392364462990066 0.198594561564314 0.530061349693252 0.494141619969435 0.333183250787933 0.414887617820027 0.334966503349665 0.275205080709182 0.51409324587839 0.452880452880453 0.489979910823656 0.442573402417962 0.494149456901776 0.402252614641995 0.470732705689726 0.292261707074062 0.405583852103377 0.331377661886136 0.329428989751098 0.444801714898178 0.37444135765189 0.367093719026467 0.366817155756208 0.307230898650379 0.271209424527502 0.295974743488556 0.380204820015944 0.322977545370655 0.296630057260865 0.409685382635643 0.551615445232467
