"participant","itemId","regionId","roiRelPosition","elapsedTime","timeInterval","keyCode","string","setName","groupName","tag1","tag2"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_2",NA,40901,208,"KBD:32"," die Umgebung nach magischen Ereignissen","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_3",NA,41105,204,"KBD:32"," und klebt förmlich an den Dingen.","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_4",NA,41321,216,"KBD:32"," Als Faultier und Elephant im Porzellanladen","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_5",NA,41525,204,"KBD:32"," lebt sie die meiste Zeit im Reich zwischen den Extremen,","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_6",NA,41725,200,"KBD:32"," außer bei Spezialmissionen.","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_7",NA,41934,209,"KBD:32"," Jedoch ist ihr dabei letztens eine Flasche mit lila Rauch","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_8",NA,42145,211,"KBD:32"," für ihren Djinn-Trick flöten gegangen, inklusive Monsterwolke.","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_9",NA,42355,210,"KBD:32"," Sie schwebte durch den Raum.","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_10",NA,42593,238,"KBD:32"," Eine Legende, die sich Abenteurer noch heute erzählen.","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_prompt",NA,43843,1250,"KBD:48","Wie fassen Sie ‚sie schwebt durch den Raum‘ auf?|wörtlich|figürlich","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item52","item52_feedback",NA,44491,648,"KBD:32","okay.","all","MM","RUB","10MM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_fixation",NA,44836,345,"KBD:32","X","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_0",NA,45249,413,"KBD:32","John war grenzenlos ehrgeizig.","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_1",NA,45505,256,"KBD:32"," Alles, was er bei der Arbeit tat,","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_2",NA,45717,212,"KBD:32"," war Teil einer Strategie,","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_3",NA,45927,210,"KBD:32"," um eine weitere Beförderung zu bekommen.","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_4",NA,46144,217,"KBD:32"," Er war sehr wettbewerbsorientiert","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_5",NA,46353,209,"KBD:32"," und erwartete immer,","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_6",NA,46569,216,"KBD:32"," dasz von der Tribüne stehende Ovationen kamen.","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_7",NA,46775,206,"KBD:32"," Johns Chef war mit Johns Arbeit zufrieden,","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_8",NA,47095,320,"KBD:32"," aber seine Kollegen waren seinen Ehrgeiz leid.","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_prompt",NA,47876,781,"KBD:48","Warum geht es hier plötzlich um eine Tribüne?|Damit sind generell Menschen gemeint, die John für seine Arbeit loben.|Von dort kommt der Beifall für Johns geleistete Arbeit.","all","SM","RUB","2SM"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","item54","item54_feedback",NA,48392,516,"KBD:32","okay.","all","SM","RUB","2SM"
