lfd;participant;tnid;gilt;group;group14;category;itemId;item;regionId;elapsedTime;timeinterval;rt_corr;rt_mod;speed;adinterval;wds;addwds;proctbywd;proctbywdavg;addproct;addproctbywds;proctbychar;addproctbychar;char;addchar;target;string;explique;;;;;
1437;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_1;93330;2522;-154.753897475402;2522;0,0178429817605075;0;7;0;2637;1665;0;0;1807;0;45;0;-9; die schmierig auf deinem Kopf hocken konnte,;;;;;;
1438;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_2;95704;2374;-256.703434223302;2374;0,0185341196293176;0;6;0;2896;1828;0;0;1739;0;44;0;-9; bis sie endlich doch noch herunterrutschte.;;;;;;
1439;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_3;98972;3268;-652.116405282119;3268;0,02203182374541;0;12;0;1993;1258;0;0;1463;0;72;0;-9; Die Traurigkeit aber, in der sie die letzten zehn Tage verbracht hatte,;;;;;;
1440;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_4;99823;851;-536.340926416584;851;0,0199764982373678;0;3;0;2076;1311;0;0;1614;0;17;0;-9; war eine andere.;;;;;;
1441;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_5;100924;1101;-608.694169181289;1101;0,0217983651226158;0;3;0;2686;1696;0;0;1479;0;24;0;-9; Hektisch und aggressiv.;;;;;;
1442;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_6;102422;1498;-119.593242677088;1498;0,0146862483311081;0;3;0;3655;2307;0;0;2195;0;22;0;-9; Mit scharfen Krallen.;;;;;;
1443;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_7;104139;1717;-545.299728206496;1717;0,0209668025626092;0;6;0;2095;1322;0;0;1538;0;36;0;-9; Sie hatte nicht auf Marta gesessen,;;;;;;
1444;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem01;Fi;09Fillerem01_8;105426;1287;-791.097875198094;1287;0,0248640248640249;0;4;0;2355;1486;0;0;1297;0;32;0;-9; sondern sie richtig überfallen.;;;;;;
1445;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_fixation;106286;860;209.466485617026;860;0,00116279069767442;0;1;0;6295;3973;0;0;27726;0;1;0;-9;X;;;;;;
1446;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_0;112920;6634;1931.02571943217;6634;0,0134157371118481;0;12;0;4047;2554;0;0;2403;0;89;0;-9;Silas ist Kriminologe und interessiert sich schon seit seiner Kindheit für Kriminalfälle.;;;;;;
1447;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_1;118399;5479;-697.589104635052;5479;0,0220843219565614;0;16;0;2507;1582;0;0;1460;0;121;0;-9; Da Silas parallel ein Interesse in Naturwissenschaften entwickelte, war Kriminologie das Beste, was er studieren konnte.;;;;;;
1448;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_2;122454;4055;42.7826682136797;4055;0,018249075215783;0;13;0;2283;1441;0;0;1767;0;74;0;-9; Er hatte schon immer wissen wollen, wie es dazu kommt, dass sich Menschen;;;;;;
1449;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_3;123849;1395;-498.896022189692;1395;0,0200716845878136;0;4;0;2553;1611;0;0;1606;0;28;0;-9; die Hände schmutzig machen.;;;;;;
1450;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_4;130101;6252;1272.72293991956;6252;0,0151951375559821;0;14;0;3269;2063;0;0;2122;0;95;0;-9; Die Motive, die inneren Konflikte, und natürlich mit welcher Technik die Täter gefasst werden.;;;;;;
1451;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_5;133551;3450;727.195639272497;3450;0,0133333333333333;0;8;0;3157;1992;0;0;2418;0;46;0;-9; Am meisten fasziniert ihn noch immer die DNA,;;;;;;
1452;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillersm08;Fi;09Fillersm08_6;136262;2711;-564.409919752711;2711;0,0213943194393213;0;9;0;2205;1392;0;0;1507;0;58;0;-9; und wie so etwas Kleines so deutliche Spuren hinterlässt.;;;;;;
1453;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC2;2;LC2_fixation;136904;642;-8.53351438297409;642;0,00155763239875389;0;1;0;4699;2966;0;0;20698;0;1;0;-9;X;;;;;;
1454;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC2;2;LC2_0;141785;4881;2158.1956392725;4881;0,00942429829952879;0;9;0;3970;2506;0;0;3421;0;46;0;-9;Johns Traum war es, Formel-1-Fahrer zu werden.;;;;;;
1455;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC2;2;LC2_1;147257;5472;2611.0442495162;5472;0,0089546783625731;0;8;0;5007;3160;0;0;3600;0;49;0;-9; Er war fest entschlossen, hart dafür zu arbeiten;;;;;;
1456;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC2;2;LC2_2;151110;3853;-251.318258290523;3853;0,0197248896963405;0;15;0;1880;1187;0;0;1634;0;76;0;-1;bis zu jenem Tag, an dem er endlich um die Formel-1-Rennstrecke rasen würde,;;;;;;
1457;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC2;2;LC2_3;154059;2949;226.195639272497;2949;0,015598507968803;4595;7;14;3084;1946;7221;1516;2067;3077;46;80;0; bis von der Tribüne stehende Ovationen kamen.;;;;;;
1458;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC2;2;LC2_4;155705;1646;-524.198801702295;1646;0,0206561360874848;0;7;0;1721;1086;0;0;1561;0;34;0;1; Aber im Moment ging es nur darum,;;;;;;
1459;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC2;2;LC2_5;156773;1068;-1148.2492649544;1068;0,0327715355805243;0;6;0;1303;822;0;0;984;0;35;0;2; hart für seinen Traum zu arbeiten.;;;;;;
1460;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_fixation;157528;755;104.466485617026;755;0,00132450331125828;0;1;0;5527;3488;0;0;24341;0;1;0;-9;X;;;;;;
1461;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_0;161580;4052;914.741470003591;4052;0,013573543928924;0;8;0;3708;2340;0;0;2375;0;55;0;-9;Louise schwingt sich gerade für ein Technikprojekt ein.;;;;;;
1462;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_1;165877;4297;-958.579839593039;4297;0,0235047707703049;0;17;0;1850;1168;0;0;1372;0;101;0;-9; Sie kann mit ihrem Geist jede Welle reiten und in Gesprächen mit ganzen Bibliotheken um sich werfen.;;;;;;
1463;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_2;168402;2525;-1072.76316251741;2525;0,0257425742574257;0;11;0;1680;1061;0;0;1252;0;65;0;-9; Wenn sie am Computer sitzt, werden ihre Finger zu kleinen Kabeln;;;;;;
1464;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_3;171015;2613;-1030.81362576952;2613;0,0252583237657865;0;10;0;1913;1207;0;0;1276;0;66;0;-1; und verschmelzen mit dem Gerät zu einem Gewitter aus Information.;;;;;;
1465;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_4;173558;2543;-916.611772761113;2543;0,0243806527723162;6099;9;22;2068;1305;6099;1281;1322;3030;62;142;0; In letzter Zeit kam es jedoch gelegentlich zu Stromausfällen.;;;;;;
1466;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_5;177114;3556;-732.520111298925;3556;0,0224971878515186;0;13;0;2002;1264;0;0;1433;0;80;0;1; Fehlt der Saft, tippt sie einfach im Dunkeln auf ihren eigenen Synapsen weiter.;;;;;;
1467;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;MM;4MM;Z-other;MM5;5;MM5_6;181170;4056;366.135910978384;4056;0,0165187376725838;0;9;0;3299;2082;0;0;1952;0;67;0;2; Ihr Gedächtnis ist eine hochauflösende Kamera und verliert nichts.;;;;;;
1468;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;EM;2EM;Z-other;EM6;6;EM6_fixation;181728;558;-92.5335143829741;558;0,0017921146953405;0;1;0;4085;2578;0;0;17990;0;1;0;-9;X;;;;;;
1469;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;EM;2EM;Z-other;EM6;6;EM6_0;184763;3035;-240.409919752711;3035;0,0191103789126853;0;7;0;3174;2003;0;0;1687;0;58;0;-9;Die SchülerInnen der Schule waren notorisch widerspenstig.;;;;;;
1470;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;EM;2EM;Z-other;EM6;6;EM6_1;185969;1206;-273.441852920786;1206;0,0157545605306799;0;5;0;1766;1114;0;0;2046;0;19;0;-9; Es war wie im Zoo.;;;;;;
1471;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;EM;2EM;Z-other;EM6;6;EM6_2;189396;3427;-401.015478777918;3427;0,02042602859644;0;10;0;2509;1583;0;0;1578;0;70;0;-9; Neue PflegerInnen wurden in der Regel den harmlosen Tieren zugeteilt:;;;;;;
1472;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;EM;2EM;Z-other;EM6;6;EM6_3;190357;961;-656.593242677088;961;0,0228928199791883;0;3;0;2345;1480;0;0;1408;0;22;0;-9; den gezähmten Ziegen,;;;;;;
1473;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;EM;2EM;Z-other;EM6;6;EM6_4;191478;1121;-634.74463243339;1121;0,0223015165031222;0;3;0;2735;1726;0;0;1446;0;25;0;-9; den gelassenen Giraffen,;;;;;;
1474;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;0;EM;2EM;Z-other;EM6;6;EM6_5;192412;934;-775.694169181289;934;0,0256959314775161;0;3;0;2279;1438;0;0;1255;0;24;0;-9; den lustigen Pinguinen.;;;;;;
1475;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;0;EM;2EM;Z-other;EM6;6;EM6_6;193603;1191;-426.593242677088;1191;0,0184718723761545;0;4;0;2180;1376;0;0;1745;0;22;0;-1; Tieren, mit denen man;;;;;;
1476;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;0;EM;2EM;Z-other;EM6;6;EM6_7;195360;1757;-643.451117962798;1757;0,0221969265793967;5179;4;9;3215;2029;12660;2659;1452;4090;39;75;0; ohne Schutzhandschuhe arbeiten konnte.;;;;;;
1477;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;0;EM;2EM;Z-other;EM6;6;EM6_8;198782;3422;1159.7002717935;3422;0,0105201636469901;0;5;0;5010;3162;0;0;3065;0;36;0;1; Es waren sowohl die intelligenteren;;;;;;
1478;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;0;EM;2EM;Z-other;EM6;6;EM6_9;200299;1517;-653.198801702295;1517;0,022412656558998;0;5;0;2221;1402;0;0;1438;0;34;0;2; als auch die aggressiveren Tiere,;;;;;;
1479;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;EM;2EM;Z-other;EM6;6;EM6_10;202476;2177;-730.006213735905;2177;0,0229673863114378;0;4;0;3984;2514;0;0;1404;0;50;0;-9; die zusätzliche Sicherheitsmaßnahmen erforderten.;;;;;;
1480;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM10;10;SM10_fixation;203021;545;-105.533514382974;1090;0,0018348623853211;0;1;0;3989;2518;0;0;17571;0;1;0;-9;X;;;;;;
1481;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM10;10;SM10_0;206194;3173;450.195639272497;6346;0,0144973211471793;0;6;0;3871;2443;0;0;2224;0;46;0;-9;Merve träumt davon Kostümdesignerin zu werden.;;;;;;
1482;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM10;10;SM10_1;209616;3422;791.296565776698;6844;0,0128579777907656;0;6;0;4175;2635;0;0;2507;0;44;0;-9; Sie konzipiert gerne die buntesten Kleider.;;;;;;
1483;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM10;10;SM10_2;211794;2178;-314.552044467;4356;0,0188246097337006;0;6;0;2657;1677;0;0;1713;0;41;0;-9; Sie liebt die Unterschiede der Menschen.;;;;;;
1484;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM10;10;SM10_3;217773;5979;2979.89285975989;11958;0,00869710653955511;0;7;0;6252;3946;0;0;3707;0;52;0;-9; Es ergeben sich dadurch viele Design-Möglichkeiten.;;;;;;
1485;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM10;10;SM10_4;221902;4129;-712.125670324133;8258;0,0222814240736256;0;13;0;2325;1467;0;0;1447;0;92;0;-9; Derzeit schneidert sie am liebsten Kleider für ihre langjährige Freundin und Sängerin Anna.;;;;;;
1486;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;0;SM;1SM;SM;SM10;10;SM10_5;225812;3910;-608.772427559428;7820;0,0217391304347826;0;14;0;2044;1290;0;0;1483;0;85;0;-9; Sie habe ein sehr besonderes Auftreten, sagt Merve, denn sie schwebe durch den Raum.;;;;;;
1487;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM10;10;SM10_6;231356;5544;-678.639567887152;11088;0,022005772005772;0;21;0;1932;1220;0;0;1465;0;122;0;-9; Merve gefallen solche Momente und sie genießt ihren Beruf daher sehr, auch wenn es nicht immer leicht ist in dem Bereich.;;;;;;
1488;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerlc23;Fi;09Fillerlc23_fixation;232177;821;170.466485617026;821;0,00121802679658952;0;1;0;6010;3793;0;0;26469;0;1;0;-9;X;;;;;;
1489;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerlc23;Fi;09Fillerlc23_0;233498;1321;-158.441852920786;1321;0,0143830431491294;0;4;0;2417;1526;0;0;2242;0;19;0;-9;Endlich war es da -;;;;;;
1490;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerlc23;Fi;09Fillerlc23_1;235406;1908;-952.955750483805;1908;0,0256813417190776;0;6;0;2328;1469;0;0;1255;0;49;0;-9; das lang ersehnte Wochenende im Vergnügungspark.;;;;;;
1491;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerlc23;Fi;09Fillerlc23_2;240086;4680;-69.0247438199322;4680;0,0192307692307692;0;14;0;2447;1544;0;0;1676;0;90;0;-9; Tom und seine FreundInnen reihten sich wieder und wieder in die Schlangen der Wartenden. ;;;;;;
1492;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerlc23;Fi;09Fillerlc23_3;241802;1716;-822.6025077191;1716;0,0244755244755245;0;6;0;2094;1321;0;0;1317;0;42;0;-9; Sie ließen keines der Fahrgeschäfte aus. ;;;;;;
1493;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerlc23;Fi;09Fillerlc23_4;243574;1772;-996.854823979604;1772;0,0265237020316027;0;8;0;1621;1023;0;0;1216;0;47;0;-9; Ihr Highlight war ein Ritt auf der Achterbahn.;;;;;;
1494;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC11;11;LC11_fixation;244121;547;-103.533514382974;547;0,00182815356489945;0;1;0;4004;2527;0;0;17635;0;1;0;-9;X;;;;;;
1495;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC11;11;LC11_0;248944;4823;1501.53961699519;4823;0,012233049968899;0;9;0;3923;2476;0;0;2635;0;59;0;-9;Petra besuchte vor einer Woche ihren alten Freund Miroslav.;;;;;;
1496;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC11;11;LC11_1;253756;4812;-121.226596828335;4812;0,0195344970906068;0;15;0;2348;1482;0;0;1650;0;94;0;-9; Früher waren sie beste Freunde gewesen und hatten sogar zusammen in einer Punk-Band gespielt.;;;;;;
1497;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC11;11;LC11_2;256674;2918;-956.065942030019;2918;0,0243317340644277;0;13;0;1643;1037;0;0;1325;0;71;0;-1; Sie redeten bis spät in die Nacht über alte Zeiten und tranken Sterni.;;;;;;
1498;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC11;11;LC11_3;258182;1508;-385.896022189692;1508;0,0185676392572944;3314;5;12;2208;1393;6076;1276;1736;3645;28;78;0; Es war ein heftiger Rausch.;;;;;;
1499;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC11;11;LC11_4;259988;1806;-1101.00621373591;1806;0,0276854928017719;0;7;0;1889;1192;0;0;1165;0;50;0;1; Petra hatte am nächsten Tag starke Kopfschmerzen.;;;;;;
1500;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;LC;3LC;Z-other;LC11;11;LC11_5;263631;3643;-1612.57983959304;3643;0,0277244029645896;0;16;0;1667;1052;0;0;1163;0;101;0;2; Doch Miroslav hatte die besten Rezepte gegen Kopfschmerzen und so ging es Petra schnell wieder gut. ;;;;;;
1501;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_fixation;264138;507;-143.533514382974;507;0,0019723865877712;0;1;0;3711;2342;0;0;16346;0;1;0;-9;X;;;;;;
1502;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_0;266089;1951;-127.097875198094;1951;0,0164018452075859;0;6;0;2380;1502;0;0;1966;0;32;0;-9;Sören hatte viel Glück im Leben.;;;;;;
1503;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_1;272587;6498;91.1585791044454;6498;0,0193905817174515;0;19;0;2503;1580;0;0;1663;0;126;0;-9; Sein Reichtum war regelrecht vom Himmel gefallen und wenn er Probleme hatte, wurden sie ohne großen Wirbel einfach weggeweht.;;;;;;
1504;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_2;273871;1284;-655.946485441792;1284;0,0225856697819315;0;6;0;1566;989;0;0;1427;0;29;0;-9; Alles fiel ihm in den Schoß.;;;;;;
1505;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_3;278349;4478;972.337763986786;4478;0,0140687807056722;0;11;0;2980;1881;0;0;2292;0;63;0;-9; Und all das, ohne dass er dem Glück je entgegenfliegen musste.;;;;;;
1506;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_4;281448;3099;560.3974922809;3099;0,0135527589545015;0;7;0;3241;2045;0;0;2379;0;42;0;-9; Sören lebte mit den Winden, sagen einige,;;;;;;
1507;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_5;287670;6222;4005.7507350456;6222;0,00562520090003214;0;5;0;9109;5749;0;0;5731;0;35;0;-9; manche nannten ihn einen Luftikus.;;;;;;
1508;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem09;Fi;09Fillerem09_6;290356;2686;101.347029028799;2686;0,0160089352196575;0;8;0;2458;1551;0;0;2014;0;43;0;-9; Doch verflogen hatte er sich im Leben nie.;;;;;;
1509;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem19;Fi;09Fillerem19_fixation;291073;717;66.4664856170259;717;0,00139470013947001;0;1;0;5248;3313;0;0;23116;0;1;0;-9;X;;;;;;
1510;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem19;Fi;09Fillerem19_0;299624;8551;4446.68174170948;8551;0,00888784937434218;0;9;0;6955;4390;0;0;3627;0;76;0;-9;Hegels Vorstellung vom dialektischen Idealismus war eine Kopfgeburt gewesen.;;;;;;
1511;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem19;Fi;09Fillerem19_1;304576;4952;-994.336788374549;4952;0,0234248788368336;0;11;0;3295;2080;0;0;1376;0;116;0;-9; Generationen von nachfolgenden PhilosophInnen bekamen Kopfschmerzen von einem derart schwindelerregenden Konstrukt.;;;;;;
1512;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem19;Fi;09Fillerem19_2;306483;1907;-585.552044467;1907;0,0214997378080755;0;7;0;1994;1259;0;0;1500;0;41;0;-9; Zum Glück wurde Hegel endlich durch Marx;;;;;;
1513;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem19;Fi;09Fillerem19_3;308180;1697;-381.097875198094;1697;0,018856806128462;0;6;0;2070;1307;0;0;1710;0;32;0;-9; vom Kopf auf die Füße gestellt.;;;;;;
1514;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM26;26;SM26_fixation;308741;561;-89.5335143829741;1122;0,0017825311942959;0;1;0;4107;2592;0;0;18087;0;1;0;-9;X;;;;;;
1515;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM26;26;SM26_0;312033;3292;615.246102524598;6584;0,0136695018226002;0;8;0;3012;1901;0;0;2359;0;45;0;-9;Es schien, als könnte Erna sich alles merken.;;;;;;
1516;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM26;26;SM26_1;315024;2991;-1481.72196430733;5982;0,0280842527582748;0;10;0;2189;1382;0;0;1148;0;84;0;-1; Besonders in den Naturwissenschaften hatte sie ein beachtliches Wissen angesammelt.;;;;;;
1517;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM26;26;SM26_2;318086;3062;799.700271793504;6124;0,0117570215545395;6165;5;15;4483;2829;9042;1899;2742;5275;36;106;0; Erna war eine wandelnde Bibliothek.;;;;;;
1518;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM26;26;SM26_3;321189;3103;-725.015478777918;6206;0,0225588140509185;0;10;0;2271;1434;0;0;1429;0;70;0;1; Wenn es darauf ankam, konnte sie immer diejenige Information abrufen,;;;;;;
1519;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM26;26;SM26_4;323118;1929;-149.097875198094;3858;0,0165889061689995;0;5;0;2824;1782;0;0;1943;0;32;0;2; die im Moment entscheidend war.;;;;;;
1520;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;SM;1SM;SM;SM26;26;SM26_5;328296;5178;-307.832155853543;10356;0,0204712244109695;0;15;0;2527;1595;0;0;1575;0;106;0;-9; Immerhin hatte sie dort sämtliche Einträge von ‚A‘ wie ‚Amalgam‘ bis ‚Z‘ wie ‚Zentrifugalkraft‘ gelagert.;;;;;;
1521;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem04;Fi;09Fillerem04_fixation;328779;483;-167.533514382974;483;0,0020703933747412;0;1;0;3536;2231;0;0;15572;0;1;0;-9;X;;;;;;
1522;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem04;Fi;09Fillerem04_0;334240;5461;2830.2965657767;5461;0,00805713239333455;0;5;0;7995;5046;0;0;4001;0;44;0;-9;Wenn Ginas Büroangestellte kooperativ waren,;;;;;;
1523;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem04;Fi;09Fillerem04_1;337068;2828;-32.9557504838049;2828;0,0173267326732673;0;6;0;3450;2178;0;0;1861;0;49;0;-9; konnten sie großartige Dinge zusammen erreichen.;;;;;;
1524;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem04;Fi;09Fillerem04_2;339839;2771;232.3974922809;2771;0,0151569830386142;0;7;0;2898;1829;0;0;2127;0;42;0;-9;" Sie waren ein Chor in perfekter Harmonie;";;;;;;
1525;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem04;Fi;09Fillerem04_3;340981;1142;-751.896022189692;1142;0,0245183887915937;0;5;0;1672;1055;0;0;1315;0;28;0;-9; die zarten Töne des Soprans;;;;;;
1526;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem04;Fi;09Fillerem04_4;344099;3118;-203.460383004811;3118;0,0189223861449647;0;10;0;2282;1441;0;0;1704;0;59;0;-9; fügten sich perfekt ein in das mächtige Donnern der Bässe.;;;;;;
1527;Tue Jul 13 2021 14:33:51 GMT+0200 (CEST);8;1;ZFIL;ZFIL;Z-other;09Fillerem04;Fi;09Fillerem04_5;346568;2469;-115.652970971201;2469;0,0174159578776833;0;6;0;3012;1901;0;0;1851;0;43;0;-9; Nach der Performance musste Gina lediglich;;;;;;
