type,pos,lemma,freq,range
blattspitzen,,,1,1
blau,,,2,2
blauen,,,1,1
blauer,,,2,1
blaupause,,,2,1
bleib,,,1,1
bleibe,,,1,1
bleiben,,,3,2
bleibt,,,9,2
blick,,,4,2
blicke,,,1,1
blickfang,,,1,1
blickheft,,,1,1
blicking,,,1,1
blicklichten,,,1,1
blieb,,,4,2
blieben,,,1,1
blind,,,1,1
blinded,,,1,1
blindness,,,1,1
blink,,,1,1
blinzeln,,,1,1
blond,,,1,1
bloß,,,7,2
blume,,,1,1
blumen,,,3,1
blumenhändler,,,1,1
blumenschmuggler,,,1,1
blumenstrauß,,,1,1
blumige,,,1,1
blusteren,,,1,1
blut,,,1,1
bluterguss,,,1,1
blutlos,,,1,1
blühend,,,1,1
blüht,,,1,1
blüte,,,2,1
blüten,,,4,1
blütenstuss,,,1,1
bobbing,,,1,1
bodies,,,1,1
body,,,3,1
bogen,,,3,1
bogenpicots,,,1,1
bohr,,,2,1
bohren,,,1,1
book,,,1,1
books,,,1,1
bord,,,5,2
bordell,,,1,1
borderline,,,1,1
borders,,,1,1
bored,,,1,1
borge,,,1,1
borgen,,,1,1
born,,,1,1
bosch,,,2,1
boschlagene,,,1,1
boss,,,1,1
bougainville,,,4,1
bov,,,1,1
boy,,,1,1
brach,,,1,1
brachte,,,2,1
brandungsgewandt,,,1,1
braucht,,,1,1
brauste,,,1,1
brechen,,,3,1
brei,,,1,1
breit,,,1,1
breite,,,1,1
brennt,,,2,2
brett,,,1,1
breuer,,,3,1
brian,,,1,1
bricklebrit,,,7,1
bricklebrjt,,,1,1
brides,,,1,1
brief,,,3,1
brigade,,,1,1
brigaden,,,1,1
bringen,,,1,1
bringt,,,3,2
brittleschöne,,,1,1
broca,,,1,1
bros,,,1,1
brownstone,,,1,1
bruder,,,2,1
brumm,,,1,1
brust,,,4,2
brustton,,,1,1
bröckelt,,,1,1
brüchige,,,1,1
brüchigen,,,1,1
brücke,,,1,1
brücken,,,2,1
brüder,,,3,1
brüllte,,,1,1
brüten,,,1,1
buch,,,2,1
buchstaben,,,1,1
buckel,,,2,2
bucklige,,,1,1
buh,,,1,1
bundesdruckerei,,,1,1
bundespolizei,,,1,1
bunnies,,,2,1
bus,,,1,1
business,,,1,1
but,,,7,2
button,,,1,1
buttons,,,1,1
by,,,12,2
byometric,,,1,1
bälgern,,,1,1
bändern,,,1,1
bärwurz,,,2,1
bö,,,2,2
bögen,,,2,1
bündel,,,1,1
bürgerlicher,,,1,1
c,,,29,2
called,,,1,1
calves,,,1,1
camp,,,1,1
can,,,3,2
canal,,,1,1
cancelt,,,1,1
capability,,,1,1
card,,,2,1
carroll,,,1,1
carta,,,1,1
cattle,,,1,1
caught,,,1,1
cazdyn,,,1,1
cchnung,,,1,1
ceillet,,,1,1
celan,,,1,1
cellae,,,1,1
certificate,,,1,1
champagner,,,2,1
chandler,,,1,1
chandlers,,,1,1
character,,,1,1
charles,,,2,1
charme,,,1,1
chartis,,,1,1
chatter,,,1,1
che,,,1,1
checked,,,1,1
ches,,,1,1
chicago,,,1,1
chimney,,,1,1
chr,,,1,1
christensen,,,1,1
chwappten,,,1,1
cia,,,1,1
cid,,,45,2
cihe,,,1,1
citizen,,,1,1
cixous,,,1,1
ck,,,1,1
cken,,,1,1
clam,,,1,1
clash,,,1,1
clatn,,,1,1
clear,,,1,1
clock,,,1,1
closed,,,2,2
closet,,,1,1
club,,,1,1
cm,,,1,1
cnough,,,1,1
cognates,,,2,1
cold,,,6,1
collar,,,2,1
collegiate,,,1,1
come,,,1,1
comes,,,1,1
computer,,,1,1
conditions,,,1,1
conjunctivjtis,,,1,1
constant,,,1,1
contagious,,,1,1
contained,,,1,1
conversion,,,1,1
converting,,,1,1
cooked,,,1,1
copying,,,1,1
cotton,,,1,1
could,,,1,1
country,,,2,1
cramps,,,1,1
creatures,,,1,1
creidtus,,,1,1
cri,,,1,1
crossed,,,1,1
crroshocks,,,1,1
crs,,,1,1
cruellest,,,1,1
crux,,,1,1
cs,,,1,1
ct,,,14,1
ctrungsruf,,,1,1
cure,,,1,1
cäcilie,,,1,1
cördoba,,,1,1
d,,,11,2
da,,,18,2
daaden,,,1,1
dabei,,,6,2
dach,,,1,1
dachte,,,1,1
dachten,,,1,1
dafür,,,2,2
dagegen,,,5,2
dagene,,,2,1
daheim,,,2,1
daher,,,1,1
dahin,,,1,1
dahinter,,,2,2
damages,,,1,1
dame,,,3,2
damit,,,7,2
dammit,,,1,1
damn,,,1,1
dampfend,,,1,1
dancerbeard,,,1,1
daneben,,,1,1
daniela,,,2,2
dank,,,1,1
dann,,,30,2
dannen,,,1,1
daran,,,1,1
darauf,,,4,2
darbend,,,1,1
darf,,,1,1
darin,,,6,2
darnm,,,1,1
darum,,,6,1
darunter,,,3,1
darüber,,,3,1
das,,,153,2
dass,,,32,2
data,,,1,1
dattern,,,3,1
daumengroß,,,1,1
david,,,1,1
davon,,,4,2
davonkam,,,1,1
dazu,,,5,2
dazwischen,,,1,1
daß,,,1,1
dc,,,1,1
dcic,,,1,1
dcscrrcd,,,1,1
de,,,3,2
dead,,,1,1
dear,,,1,1
deck,,,2,1
deckchen,,,1,1
decke,,,1,1
deckehen,,,1,1
deckel,,,1,1
decken,,,2,1
defect,,,1,1
definite,,,1,1
deflower,,,1,1
deftig,,,1,1
dehnung,,,1,1
dein,,,2,1
deine,,,5,2
deinem,,,1,1
deiner,,,4,2
deines,,,1,1
dem,,,59,2
democratic,,,1,1
den,,,92,2
denen,,,3,2
denken,,,3,2
denklichen,,,1,1
denn,,,5,2
dennoch,,,1,1
denselben,,,1,1
department,,,2,1
deplacierer,,,1,1
deportierten,,,1,1
depth,,,1,1
der,,,229,2
deren,,,4,1
ders,,,1,1
derselbe,,,1,1
derweil,,,2,1
des,,,34,2
deshalb,,,1,1
destroys,,,1,1
detektive,,,1,1
detlef,,,2,1
deuten,,,1,1
deutend,,,1,1
deutlich,,,1,1
deutsch,,,2,2
deutsche,,,1,1
deutschen,,,2,2
deutschland,,,3,2
diagnosis,,,1,1
diagnostizierte,,,1,1
dich,,,11,2
dichterdoktor,,,1,1
dick,,,2,2
dicker,,,1,1
dickicht,,,1,1
dickichten,,,1,1
dictionary,,,1,1
did,,,2,1
dideldum,,,1,1
didn,,,2,1
die,,,305,2
dielen,,,1,1
dienst,,,1,1
dies,,,2,1
diese,,,9,2
diesem,,,4,2
diesen,,,6,2
dieser,,,10,2
dieses,,,6,2
dieu,,,1,1
different,,,1,1
differing,,,1,1
diktieren,,,1,1
dillmont,,,1,1
ding,,,3,1
dinge,,,5,2
dingen,,,1,1
dinger,,,1,1
dingwort,,,1,1
dioxin,,,4,1
dipse,,,1,1
dir,,,7,2
direktverbindung,,,1,1
dis,,,3,2
disease,,,2,1
dislike,,,2,1
disorder,,,2,2
displaced,,,1,1
disponierenden,,,1,1
disseits,,,1,1
diverse,,,1,1
dn,,,1,1
do,,,1,1
doch,,,15,2
docsn,,,1,1
doctor,,,1,1
doctors,,,1,1
doesn,,,1,1
dog,,,3,1
doktor,,,9,1
dokumente,,,1,1
dolmetscher,,,1,1
dolna,,,1,1
don,,,2,2
donnerstag,,,1,1
donut,,,2,1
