Type	POS	Rank	Freq	Range	NormFreq	NormRange
jung		326	1	1	296.912	1.0
jemand		326	1	1	296.912	1.0
jemals		326	1	1	296.912	1.0
jederman		326	1	1	296.912	1.0
je		326	1	1	296.912	1.0
irthume		326	1	1	296.912	1.0
ihres		326	1	1	296.912	1.0
ih		326	1	1	296.912	1.0
häuser		326	1	1	296.912	1.0
hätten		326	1	1	296.912	1.0
hängt		326	1	1	296.912	1.0
hofräthin		326	1	1	296.912	1.0
hochzeit		326	1	1	296.912	1.0
hochmuth		326	1	1	296.912	1.0
hochachtung		326	1	1	296.912	1.0
hin		326	1	1	296.912	1.0
heßliche		326	1	1	296.912	1.0
heyrath		326	1	1	296.912	1.0
herzens		326	1	1	296.912	1.0
henkers		326	1	1	296.912	1.0
henker		326	1	1	296.912	1.0
heißt		326	1	1	296.912	1.0
heimlichkeiten		326	1	1	296.912	1.0
heimlich		326	1	1	296.912	1.0
heftigste		326	1	1	296.912	1.0
he		326	1	1	296.912	1.0
hatte		326	1	1	296.912	1.0
handeln		326	1	1	296.912	1.0
göttlichen		326	1	1	296.912	1.0
guten		326	1	1	296.912	1.0
gute		326	1	1	296.912	1.0
gusto		326	1	1	296.912	1.0
grüß		326	1	1	296.912	1.0
grundsätzen		326	1	1	296.912	1.0
grundsätze		326	1	1	296.912	1.0
gratuliren		326	1	1	296.912	1.0
gottlob		326	1	1	296.912	1.0
gnädigen		326	1	1	296.912	1.0
glüht		326	1	1	296.912	1.0
glücklicher		326	1	1	296.912	1.0
gift		326	1	1	296.912	1.0
gieng		326	1	1	296.912	1.0
gewußt		326	1	1	296.912	1.0
gewunden		326	1	1	296.912	1.0
gewogenheit		326	1	1	296.912	1.0
gewesen		326	1	1	296.912	1.0
getöß		326	1	1	296.912	1.0
gestehe		326	1	1	296.912	1.0
gespenst		326	1	1	296.912	1.0
gesichter		326	1	1	296.912	1.0
gesichte		326	1	1	296.912	1.0
gesicht		326	1	1	296.912	1.0
gesellschafter		326	1	1	296.912	1.0
gerücht		326	1	1	296.912	1.0
geringsten		326	1	1	296.912	1.0
gerechtigkeit		326	1	1	296.912	1.0
genug		326	1	1	296.912	1.0
genommen		326	1	1	296.912	1.0
gemahle		326	1	1	296.912	1.0
gemahl		326	1	1	296.912	1.0
gemacht		326	1	1	296.912	1.0
gekränktes		326	1	1	296.912	1.0
geiste		326	1	1	296.912	1.0
geirret		326	1	1	296.912	1.0
gehen		326	1	1	296.912	1.0
gehalten		326	1	1	296.912	1.0
gegen		326	1	1	296.912	1.0
gegeben		326	1	1	296.912	1.0
gefährlicher		326	1	1	296.912	1.0
gefährliche		326	1	1	296.912	1.0
gefiel		326	1	1	296.912	1.0
gefalle		326	1	1	296.912	1.0
gedreht		326	1	1	296.912	1.0
gebohren		326	1	1	296.912	1.0
gebeten		326	1	1	296.912	1.0
ganz		326	1	1	296.912	1.0
fürchten		326	1	1	296.912	1.0
fünfter		326	1	1	296.912	1.0
führt		326	1	1	296.912	1.0
fühle		326	1	1	296.912	1.0
fängt		326	1	1	296.912	1.0
fruchtbarer		326	1	1	296.912	1.0
fromme		326	1	1	296.912	1.0
freylich		326	1	1	296.912	1.0
freyheit		326	1	1	296.912	1.0
freygeist		326	1	1	296.912	1.0
freut		326	1	1	296.912	1.0
freundin		326	1	1	296.912	1.0
freund		326	1	1	296.912	1.0
freue		326	1	1	296.912	1.0
frage		326	1	1	296.912	1.0
fortkommen		326	1	1	296.912	1.0
foppen		326	1	1	296.912	1.0
flüchtling		326	1	1	296.912	1.0
flüchtigen		326	1	1	296.912	1.0
fleißig		326	1	1	296.912	1.0
findet		326	1	1	296.912	1.0
feuer		326	1	1	296.912	1.0
fest		326	1	1	296.912	1.0
fehler		326	1	1	296.912	1.0
fangen		326	1	1	296.912	1.0
fange		326	1	1	296.912	1.0
ewigkeit		326	1	1	296.912	1.0
euer		326	1	1	296.912	1.0
etwan		326	1	1	296.912	1.0
erzählen		326	1	1	296.912	1.0
erzeigt		326	1	1	296.912	1.0
erzeigen		326	1	1	296.912	1.0
erwischt		326	1	1	296.912	1.0
erwiesen		326	1	1	296.912	1.0
erweißt		326	1	1	296.912	1.0
erweisen		326	1	1	296.912	1.0
erwartet		326	1	1	296.912	1.0
erwachen		326	1	1	296.912	1.0
erster		326	1	1	296.912	1.0
ersten		326	1	1	296.912	1.0
erstemal		326	1	1	296.912	1.0
ersinnliche		326	1	1	296.912	1.0
eroberungen		326	1	1	296.912	1.0
ernsthaften		326	1	1	296.912	1.0
erkenne		326	1	1	296.912	1.0
erinnern		326	1	1	296.912	1.0
erinnere		326	1	1	296.912	1.0
erhalten		326	1	1	296.912	1.0
erfahrung		326	1	1	296.912	1.0
erfahren		326	1	1	296.912	1.0
ereifern		326	1	1	296.912	1.0
entzücken		326	1	1	296.912	1.0
entzwey		326	1	1	296.912	1.0
entschließen		326	1	1	296.912	1.0
englische		326	1	1	296.912	1.0
ende		326	1	1	296.912	1.0
end		326	1	1	296.912	1.0
empfehlen		326	1	1	296.912	1.0
elendes		326	1	1	296.912	1.0
elender		326	1	1	296.912	1.0
elenden		326	1	1	296.912	1.0
elende		326	1	1	296.912	1.0
einzige		326	1	1	296.912	1.0
einzig		326	1	1	296.912	1.0
einiger		326	1	1	296.912	1.0
einigem		326	1	1	296.912	1.0
einige		326	1	1	296.912	1.0
eindruck		326	1	1	296.912	1.0
eigensinnig		326	1	1	296.912	1.0
ehe		326	1	1	296.912	1.0
edelmüthiger		326	1	1	296.912	1.0
edelmüthig		326	1	1	296.912	1.0
durchlesen		326	1	1	296.912	1.0
dummkopf		326	1	1	296.912	1.0
dummer		326	1	1	296.912	1.0
dritter		326	1	1	296.912	1.0
dran		326	1	1	296.912	1.0
ding		326	1	1	296.912	1.0
dies		326	1	1	296.912	1.0
dienstbothen		326	1	1	296.912	1.0
dienstboten		326	1	1	296.912	1.0
deswegen		326	1	1	296.912	1.0
desto		326	1	1	296.912	1.0
dessen		326	1	1	296.912	1.0
dero		326	1	1	296.912	1.0
dereinst		326	1	1	296.912	1.0
denen		326	1	1	296.912	1.0
